{'loss': 2.6562, 'grad_norm': 5.802441588850042, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.2344, 'grad_norm': 5.316338204099572, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.9766, 'grad_norm': 4.6337257817105915, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.3125, 'grad_norm': 5.544854809139442, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.8906, 'grad_norm': 5.0812840280191285, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.9844, 'grad_norm': 5.007017664080652, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.5, 'grad_norm': 5.987366589781244, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.8125, 'grad_norm': 4.721525528452891, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.8516, 'grad_norm': 5.019483872417742, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.3281, 'grad_norm': 4.697501312780749, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.1094, 'grad_norm': 6.046201115248955, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.0469, 'grad_norm': 5.910415472171007, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.3594, 'grad_norm': 5.473306389087776, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.1406, 'grad_norm': 4.565682727749405, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.0469, 'grad_norm': 6.2328227238187806, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.5625, 'grad_norm': 5.93364014209044, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.5, 'grad_norm': 5.318288597782362, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.6172, 'grad_norm': 9.244094239583756, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.5938, 'grad_norm': 5.2493517713917885, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.8047, 'grad_norm': 4.718023847907817, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.7344, 'grad_norm': 5.1117706451353495, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.9531, 'grad_norm': 6.5400312346390415, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.1094, 'grad_norm': 4.622534073536627, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.9844, 'grad_norm': 4.9784670189788365, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.5, 'grad_norm': 5.326543381816517, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.6094, 'grad_norm': 4.283091419725382, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.2031, 'grad_norm': 4.648454954980838, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.2969, 'grad_norm': 4.725599795986592, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.2969, 'grad_norm': 4.9415366236178055, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 1.8594, 'grad_norm': 5.543879086202631, 'learning_rate': 2e-05, 'epoch': 0.22}
