{'loss': 2.0, 'grad_norm': 7.556150872490093, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 2.4219, 'grad_norm': 6.960144402713634, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 1.7266, 'grad_norm': 6.232671921605324, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.2344, 'grad_norm': 6.669180756519856, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.125, 'grad_norm': 8.116228885493106, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.4062, 'grad_norm': 6.853049590212153, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.2656, 'grad_norm': 7.496209888258276, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 2.2344, 'grad_norm': 6.968441046418048, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 1.9453, 'grad_norm': 6.438633621647412, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 2.4062, 'grad_norm': 8.069431598418808, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 1.875, 'grad_norm': 6.993867098258202, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 2.3125, 'grad_norm': 7.583578403434393, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 2.3906, 'grad_norm': 8.029259205087694, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 2.3125, 'grad_norm': 7.1897939467792105, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 2.5469, 'grad_norm': 8.71203663735599, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 2.3125, 'grad_norm': 8.11216971760293, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 2.1406, 'grad_norm': 7.385666906183074, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 1.8984, 'grad_norm': 6.485373563627983, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.0156, 'grad_norm': 7.12040634215829, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.4688, 'grad_norm': 8.775035433336082, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.4062, 'grad_norm': 7.311129320826394, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.25, 'grad_norm': 10.75299194604045, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.0625, 'grad_norm': 7.8422337774162205, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.3125, 'grad_norm': 8.734798522383233, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.2656, 'grad_norm': 7.353805045246047, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 2.125, 'grad_norm': 8.26285792293284, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 2.2344, 'grad_norm': 8.168809363328885, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.3906, 'grad_norm': 8.773945456016827, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.2188, 'grad_norm': 7.697452094016433, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.1875, 'grad_norm': 7.876835275626992, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 2.0469, 'grad_norm': 8.025951126742493, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 2.1719, 'grad_norm': 8.12666009261103, 'learning_rate': 2e-05, 'epoch': 0.54}
