{'loss': 2.5469, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 1.8984, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 2.0352, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 2.3164, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 2.7031, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 2.4453, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 2.3125, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 1.8125, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.6406, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.1758, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.2344, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.0078, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 1.9766, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 1.8789, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 2.4297, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 2.4375, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 1.8711, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.4375, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.2422, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.0938, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 1.9648, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 1.8867, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 2.1133, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 2.0859, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.1016, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.0234, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.0547, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.0938, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 2.2305, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 1.8203, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 2.3125, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 1.8984, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.1055, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.7422, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.0859, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.4844, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.0352, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.2266, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.3672, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.7969, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.0977, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.1836, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.125, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 1.8789, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 2.332, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 2.3203, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 2.1094, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 2.3828, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.4375, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.168, 'learning_rate': 2e-05, 'epoch': 0.41}
{'loss': 2.0469, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.6016, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.5703, 'learning_rate': 2e-05, 'epoch': 0.42}
{'loss': 2.4609, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 2.0234, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 2.2031, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 2.0703, 'learning_rate': 2e-05, 'epoch': 0.43}
{'loss': 2.2188, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 2.5938, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 1.8125, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 1.9727, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.44}
{'loss': 2.1641, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 2.1992, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 1.7383, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 2.0625, 'learning_rate': 2e-05, 'epoch': 0.45}
{'loss': 2.0625, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 1.9219, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 2.2773, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 1.9844, 'learning_rate': 2e-05, 'epoch': 0.46}
{'loss': 2.2969, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 1.8633, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 2.2109, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 1.8594, 'learning_rate': 2e-05, 'epoch': 0.47}
{'loss': 2.0117, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.125, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.1016, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.3203, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 1.9883, 'learning_rate': 2e-05, 'epoch': 0.48}
{'loss': 2.2188, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.1992, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.6328, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.1992, 'learning_rate': 2e-05, 'epoch': 0.49}
{'loss': 2.3125, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.4531, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.2188, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.0781, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.2266, 'learning_rate': 2e-05, 'epoch': 0.5}
{'loss': 2.1914, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 2.1172, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 1.8281, 'learning_rate': 2e-05, 'epoch': 0.51}
{'loss': 2.4062, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.0742, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 1.8789, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.3828, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 2.0742, 'learning_rate': 2e-05, 'epoch': 0.52}
{'loss': 1.9141, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 1.8945, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 1.793, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 2.4766, 'learning_rate': 2e-05, 'epoch': 0.53}
{'loss': 1.6602, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.2578, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.8203, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.2109, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.1328, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.4297, 'learning_rate': 2e-05, 'epoch': 0.55}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.55}
